scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,scale_10,scale_11,scale_12,scale_13,scale_14,scale_15,scale_16,scale_17,scale_18
0.34917152,0.23637754,0.7008439,0.3420108,0.26343796,0.35504222,0.31417477,0.28453723,0.43010682,0.31817478,0.22380157,0.34043872,0.2963805,0.29906076,0.30209708,0.24444255,0.21653637,0.28471774
0.38057023,0.32882303,0.39549774,0.38716677,0.40633744,0.6468127,0.34372097,0.4073459,0.7663289,0.4040721,0.37367123,0.7559003,0.34954944,0.70368445,0.697055,0.3514349,0.39089453,0.43758518
0.25324592,0.19819197,0.52003795,0.25726438,0.26601732,0.31176674,0.2006915,0.25350696,0.40419322,0.23448531,0.1984844,0.2864874,0.19375217,0.28162265,0.2598073,0.19134271,0.20720491,0.2509273
0.2538445,0.2591136,0.5411633,0.26057923,0.29478878,0.22704342,0.21600756,0.30558908,0.3283404,0.23568165,0.29353455,0.20784184,0.23106906,0.37797296,0.24354458,0.24334425,0.29245642,0.26684633
0.2745341,0.21854286,0.5868054,0.27590913,0.28518972,0.27894014,0.24130668,0.26242852,0.398476,0.30415908,0.23335546,0.24810536,0.23405166,0.29228082,0.2328,0.21818793,0.24376877,0.30346665
0.26072538,0.20716251,0.59772444,0.27022326,0.24129897,0.2561993,0.24164854,0.27127427,0.42011747,0.27427074,0.21777783,0.2773766,0.25954905,0.2839831,0.26935816,0.21413246,0.25471973,0.28995633
0.27285463,0.22956838,0.6924895,0.3150565,0.30326128,0.335102,0.23625407,0.3022605,0.4689458,0.30325368,0.2706112,0.26671064,0.24154297,0.39135468,0.30004033,0.23874192,0.29046708,0.30836245
0.36672822,0.26755378,0.42242578,0.35807317,0.2916833,0.5234368,0.35558742,0.3246122,0.5601421,0.36286545,0.2671748,0.57921743,0.31107295,0.49509513,0.5617471,0.26823682,0.2764815,0.3132978
0.32806486,0.2123389,0.6800326,0.31194085,0.2379607,0.29476085,0.3068967,0.2669543,0.41767594,0.303729,0.2137684,0.27828315,0.28444725,0.312443,0.30672285,0.21640012,0.23601034,0.28101197
0.312841,0.34890622,0.43524,0.34368068,0.4005974,0.61520517,0.32541868,0.3686737,0.7579624,0.3835143,0.35461295,0.6671454,0.33363613,0.63619167,0.67480904,0.34077546,0.35566795,0.4167027
0.2927718,0.2604957,0.76768583,0.33054516,0.30465487,0.40418747,0.2624956,0.32012725,0.53783274,0.31345135,0.2663159,0.36224666,0.2671588,0.3961114,0.37818688,0.2636494,0.2861485,0.3401251
0.8821826,0.81821597,0.36789367,0.92032355,0.8402954,0.3756911,0.8766943,0.87573373,0.39874548,0.889018,0.8050306,0.35373205,0.87325364,0.40711594,0.38928342,0.78082305,0.79744726,0.8338763
0.2919841,0.1983113,0.7094802,0.31317744,0.29205295,0.31055576,0.2633814,0.28946576,0.43926194,0.30159938,0.24537623,0.30262268,0.2506023,0.3858637,0.30477858,0.21863975,0.24582651,0.3105633
0.42250553,0.36582607,0.5355768,0.43888998,0.38715175,0.51894116,0.37528396,0.4100165,0.62276226,0.42807359,0.36794636,0.54788107,0.36336458,0.5049943,0.49288565,0.32161024,0.3862018,0.39707226
0.26403373,0.25699198,0.48108265,0.29951182,0.25381908,0.38234597,0.2710232,0.28132302,0.36896688,0.2773354,0.22022687,0.28373268,0.24242918,0.29258376,0.29734492,0.25503018,0.18607274,0.25114542
